musym,muname,mukey,mustatus,slopegraddcp,slopegradwta,brockdepmin,wtdepannmin,wtdepaprjunmin,flodfreqdcd,flodfreqmax,pondfreqprs,aws025wta,aws050wta,aws0100wta,aws0150wta,drclassdcd,drclasswettest,hydgrpdcd,iccdcd,iccdcdpct,niccdcd,niccdcdpct,engdwobdcd,engdwbdcd,engdwbll,engdwbml,engstafdcd,engstafll,engstafml,engsldcd,engsldcp,englrsdcd,engcmssdcd,engcmssmp,urbrecptdcd,urbrecptwta,forpehrtdcp,hydclprs,awmmfpwwta,compname,comppct_r,majcompflag,localphase,slope_r,runoff,drainagecl,hydricrating,hydgrp,geomdesc,ecoclassname,min_restrictive_depth_cm,restriction_kinds,topsoil_clay_pct,topsoil_sand_pct,topsoil_silt_pct,topsoil_caco3_pct,topsoil_ph,topsoil_om_pct,dashboard_soil_bucket,dashboard_soil_label
ErG,"Eckrant-Rock outcrop association, 8 to 30 percent slopes",390696,,19,19.8,0,,,,,0,2.25,2.7,2.7,2.7,Well drained,Well drained,D,,100,7,65,Very limited,Very limited,Not rated,Very limited,Very limited,Not rated,Very limited,Very limited,Very limited,Very limited,Poor,Not rated,Somewhat limited,0.866,Erosion hazard slight,0,1,Eckrant,65,Yes,,19.0,High,Well drained,No,D,ridges on plateaus,Clay Loam 29-35 PZ; Redland 29-35 PZ; Steep Adobe 29-35 PZ; Steep Rocky 29-35 PZ,0.0,Lithic bedrock; Paralithic bedrock,43.5,18.0,38.5,2.0,7.3,5.5,steep_rocky_slope,Steep rocky limestone slope
FeF4,"Ferris clay, 5 to 20 percent slopes, severely eroded",390697,,13,13,89,,,,,0,4.25,8.1,15.38,21.88,Well drained,Well drained,D,,100,6,85,Very limited,Very limited,Not rated,Very limited,Very limited,Not rated,Very limited,Very limited,Very limited,Very limited,Poor,Not rated,Somewhat limited,0.5,Erosion hazard severe,0,1,Ferris,85,Yes,severely eroded,13.0,Very high,Well drained,No,D,linear gilgai on ridges on plains,Southern Eroded Blackland,89.0,Densic bedrock,52.5,18.2,29.3,9.5,8.2,0.775,eroded_clay_slope,Eroded clay slope
GrC,"Gruene clay, 1 to 5 percent slopes",390698,,3,3,,,,,,0,3.75,4.95,10.67,17.17,Well drained,Well drained,D,,100,4,85,Somewhat limited,Very limited,Not rated,Very limited,Very limited,Not rated,Very limited,Very limited,Very limited,Somewhat limited,Poor,Not rated,Somewhat limited,0.5,Erosion hazard slight,0,1,Gruene,85,Yes,,3.0,Medium,Well drained,No,D,ridges on plains,Southern Chalky Ridge,33.0,Petrocalcic,42.5,28.1,29.4,0.0,7.5,2.0,thin_limestone,Thin rocky limestone / karst
HeB,"Heiden clay, 1 to 3 percent slopes",390699,,2,2,,,,,,0,4,8,16,23.79,Well drained,Well drained,D,,100,3,85,Very limited,Very limited,Not rated,Very limited,Very limited,Not rated,Very limited,Not limited,Not limited,Very limited,Poor,Not rated,Somewhat limited,0.5,Erosion hazard slight,0,1,Heiden,85,Yes,,2.0,Very high,Well drained,No,D,linear gilgai on ridges on plains,Southern Blackland; Southern Eroded Blackland,114.0,Densic bedrock; Densic material,50.0,22.0,28.0,9.666666666666666,8.2,1.5999999999999999,eroded_clay_slope,Eroded clay slope
HeC3,"Heiden clay, 3 to 5 percent slopes, eroded",390700,,4,4,,,,,,0,4,8,16,23.79,Well drained,Well drained,D,,100,3,95,Very limited,Very limited,Not rated,Very limited,Very limited,Not rated,Very limited,Somewhat limited,Somewhat limited,Very limited,Poor,Not rated,Somewhat limited,0.5,Erosion hazard moderate,0,1,Heiden,85,Yes,moderately eroded,4.0,Very high,Well drained,No,D,linear gilgai on ridges on plains,Southern Blackland; Southern Eroded Blackland,114.0,Densic bedrock; Densic material,50.0,22.0,28.0,7.5,8.2,2.0,eroded_clay_slope,Eroded clay slope
HeD3,"Heiden clay, 5 to 8 percent slopes, eroded",390701,,7,7.1,,,,,,0,4,8,16,21.34,Well drained,Well drained,D,,100,4,95,Very limited,Very limited,Not rated,Very limited,Very limited,Not rated,Very limited,Very limited,Very limited,Very limited,Poor,Not rated,Somewhat limited,0.5,Erosion hazard moderate,0,1,Heiden,85,Yes,moderately eroded,7.0,Very high,Well drained,No,D,linear gilgai on ridges on plains,Southern Eroded Blackland,112.0,Densic bedrock; Densic material,50.0,22.0,28.0,7.5,8.2,2.0,eroded_clay_slope,Eroded clay slope
HgD,"Heiden gravelly clay, 3 to 8 percent slopes",390702,,6,6,,,,,,0,3.65,7.9,16.01,21.77,Well drained,Well drained,D,,100,4,95,Very limited,Very limited,Not rated,Very limited,Very limited,Not rated,Very limited,Somewhat limited,Somewhat limited,Very limited,Poor,Not rated,Somewhat limited,0.5,Erosion hazard moderate,0,1,Heiden,90,Yes,,6.0,Very high,Well drained,No,D,linear gilgai on ridges on plains,Southern Blackland; Southern Eroded Blackland,107.0,Densic bedrock; Densic material,50.0,22.0,28.0,7.5,8.2,2.0,eroded_clay_slope,Eroded clay slope
HoB,"Houston Black clay, 1 to 3 percent slopes",390703,,2,2.2,,,,,,0,4,8,16,24,Moderately well drained,Moderately well drained,D,,100,2,85,Very limited,Very limited,Not rated,Very limited,Very limited,Not rated,Very limited,Not limited,Not limited,Very limited,Poor,Not rated,Somewhat limited,0.5,Erosion hazard slight,0,1,Houston Black,80,Yes,,2.0,Very high,Moderately well drained,No,D,linear gilgai on ridges on plains,Southern Blackland,122.0,Densic material; Paralithic bedrock,54.0,20.0,26.0,22.5,7.9,2.375,thin_limestone,Thin rocky limestone / karst
HvB,"Houston Black gravelly clay, 1 to 3 percent slopes",390704,,2,2.2,,,,,,0,2.85,6.6,14.1,21.6,Moderately well drained,Moderately well drained,D,,100,2,80,Very limited,Very limited,Not rated,Very limited,Very limited,Not rated,Very limited,Not limited,Not limited,Very limited,Poor,Not rated,Somewhat limited,0.5,Erosion hazard slight,0,1,Houston Black,80,Yes,,2.0,Very high,Moderately well drained,No,D,linear gilgai on ridges on plains,Southern Blackland,122.0,Densic material,54.0,20.0,26.0,22.5,7.9,2.375,chalky_ridge,Chalky calcareous ridge
HvD,"Houston Black gravelly clay, 3 to 8 percent slopes",390705,,6,6,,,,,,0,3.75,7.68,15.68,23.68,Moderately well drained,Moderately well drained,D,,100,4,100,Very limited,Very limited,Not rated,Very limited,Very limited,Not rated,Very limited,Somewhat limited,Somewhat limited,Very limited,Poor,Not rated,Somewhat limited,0.5,Erosion hazard moderate,0,1,Houston Black,90,Yes,,6.0,Very high,Moderately well drained,No,D,linear gilgai on ridges on plains,Southern Blackland,122.0,Densic bedrock,54.0,20.0,26.0,22.5,7.9,2.375,chalky_ridge,Chalky calcareous ridge
KrA,"Krum clay, 0 to 1 percent slopes",390706,,0.5,0.5,,,,,,0,4.5,8.73,16.23,23.73,Well drained,Well drained,C,,100,2,90,Very limited,Very limited,Not rated,Very limited,Very limited,Not rated,Very limited,Not limited,Not limited,Very limited,Poor,Not rated,Somewhat limited,0.5,Erosion hazard slight,0,1,Krum,90,Yes,,0.5,Medium,Well drained,No,C,stream terraces on plateaus,Clay Loam 29-35 PZ; Southern Blackland; Southern Clay Loam,89.0,Lithic bedrock,47.5,24.0,28.5,14.0,8.1,1.875,floodplain_bottomland,Creek / floodplain / bottomland
KrB,"Krum clay, 1 to 3 percent slopes",393469,,2,2.1,,,,,,0,4.5,8.73,16.23,23.73,Well drained,Well drained,C,,100,3,90,Very limited,Very limited,Not rated,Very limited,Very limited,Not rated,Very limited,Not limited,Not limited,Very limited,Poor,Not rated,Somewhat limited,0.5,Erosion hazard slight,0,1,Krum,90,Yes,,2.0,High,Well drained,No,C,stream terraces on plateaus,Clay Loam 29-35 PZ; Shallow 29-35 PZ,43.0,Lithic bedrock; Paralithic bedrock,47.5,24.0,28.5,14.0,8.1,1.875,floodplain_bottomland,Creek / floodplain / bottomland
KrC,"Krum clay, 3 to 5 percent slopes",393470,,4,4,,,,,,0,4.5,8.49,15.99,22.53,Well drained,Well drained,C,,100,3,90,Very limited,Very limited,Not rated,Very limited,Very limited,Not rated,Very limited,Somewhat limited,Somewhat limited,Very limited,Poor,Not rated,Somewhat limited,0.5,Erosion hazard moderate,0,1,Krum,90,Yes,,4.0,High,Well drained,No,C,stream terraces on plateaus,Clay Loam 29-35 PZ; Shallow 29-35 PZ,43.0,Lithic bedrock; Paralithic bedrock,47.5,24.0,28.5,14.0,8.1,2.25,floodplain_bottomland,Creek / floodplain / bottomland
