musym,muname,mukey,mustatus,slopegraddcp,slopegradwta,brockdepmin,wtdepannmin,wtdepaprjunmin,flodfreqdcd,flodfreqmax,pondfreqprs,aws025wta,aws050wta,aws0100wta,aws0150wta,drclassdcd,drclasswettest,hydgrpdcd,iccdcd,iccdcdpct,niccdcd,niccdcdpct,engdwobdcd,engdwbdcd,engdwbll,engdwbml,engstafdcd,engstafll,engstafml,engsldcd,engsldcp,englrsdcd,engcmssdcd,engcmssmp,urbrecptdcd,urbrecptwta,forpehrtdcp,hydclprs,awmmfpwwta,compname,comppct_r,majcompflag,localphase,slope_r,runoff,drainagecl,hydricrating,hydgrp,geomdesc,ecoclassname,min_restrictive_depth_cm,restriction_kinds,topsoil_clay_pct,topsoil_sand_pct,topsoil_silt_pct,topsoil_caco3_pct,topsoil_ph,topsoil_om_pct,dashboard_soil_bucket,dashboard_soil_label
RUD,"Rumple-Comfort, rubbly association, 1 to 8 percent slopes",393481,,5,4.7,30,,,,,0,1.63,2.54,3.01,3.01,Well drained,Well drained,D,,100,4,60,Somewhat limited,Very limited,Not rated,Very limited,Very limited,Not rated,Very limited,Very limited,Very limited,Somewhat limited,Poor,Not rated,Somewhat limited,0.5,Erosion hazard moderate,0,1,Rumple,60,Yes,,5.0,Very high,Well drained,No,D,ridges on plateaus,Gravelly Redland 29-35 PZ; Low Stony Hill 29-35 PZ; Redland 29-35 PZ,0.0,Lithic bedrock,50.8,21.6,27.6,0.0,7.26,3.7399999999999998,thin_limestone,Thin rocky limestone / karst
RaD,"Real gravelly loam, 1 to 8 percent slopes",393482,,5,5,36,,,,,0,2,2.88,2.88,2.88,Well drained,Well drained,D,,100,6,85,Somewhat limited,Very limited,Not rated,Very limited,Very limited,Not rated,Very limited,Very limited,Very limited,Somewhat limited,Poor,Not rated,Somewhat limited,0.259,Erosion hazard moderate,0,1,Real,85,Yes,,5.0,High,Well drained,No,D,ridges on plateaus,Adobe 29-35 PZ; Low Stony Hill 29-35 PZ; Shallow 29-35 PZ,30.0,Lithic bedrock; Paralithic bedrock,26.0,35.7,38.3,55.0,8.2,5.25,thin_limestone,Thin rocky limestone / karst
RcD,"Real-Comfort-Doss complex, 1 to 8 percent slopes",393483,,5,5,33,,,,,0,1.96,2.87,2.87,2.87,Well drained,Well drained,D,,100,6,70,Somewhat limited,Very limited,Not rated,Very limited,Very limited,Not rated,Very limited,Very limited,Very limited,Somewhat limited,Poor,Not rated,Somewhat limited,0.433,Erosion hazard moderate,0,1,Real,40,Yes,,5.0,High,Well drained,No,D,ridges on plateaus,Adobe 29-35 PZ; Low Stony Hill 29-35 PZ; Shallow 29-35 PZ,0.0,Lithic bedrock; Paralithic bedrock,39.666666666666664,25.066666666666666,35.266666666666666,35.0,7.966666666666666,4.166666666666667,thin_limestone,Thin rocky limestone / karst
SeB,"Seawillow clay loam, 1 to 3 percent slopes",393484,,2,2,,,,,,0,4,7.56,14.22,20.72,Well drained,Well drained,B,,100,2,85,Somewhat limited,Not limited,Not limited,Not rated,Somewhat limited,Not rated,Not rated,Somewhat limited,Somewhat limited,Somewhat limited,Poor,Not rated,Somewhat limited,0.314,Erosion hazard slight,0,0,Seawillow,85,Yes,,2.0,Low,Well drained,No,B,stream terraces on river valleys,Southern Clay Loam,,,31.0,35.4,33.6,47.5,8.2,0.6000000000000001,floodplain_bottomland,Creek / floodplain / bottomland
SeD,"Seawillow clay loam, 3 to 8 percent slopes",393485,,6,6,,,,,,0,3.9,7.4,14.37,20.87,Well drained,Well drained,B,,100,4,85,Somewhat limited,Somewhat limited,Not rated,Not rated,Somewhat limited,Not rated,Not rated,Somewhat limited,Somewhat limited,Somewhat limited,Poor,Not rated,Somewhat limited,0.314,Erosion hazard moderate,0,0,Seawillow,85,Yes,,6.0,Medium,Well drained,No,B,stream terraces on river valleys,Southern Clay Loam,,,31.0,35.4,33.6,47.5,8.2,0.6000000000000001,floodplain_bottomland,Creek / floodplain / bottomland
SuA,"Sunev silty clay loam, 0 to 1 percent slopes",393650,,0.5,0.5,,,,,,0,3.5,7,14,21,Well drained,Well drained,B,,100,2,85,Not limited,Not limited,Not limited,Not rated,Somewhat limited,Not rated,Not rated,Somewhat limited,Somewhat limited,Somewhat limited,Poor,Not rated,Somewhat limited,0.445,Erosion hazard slight,0,0,Sunev,85,Yes,,0.5,Negligible,Well drained,No,B,stream terraces on river valleys,Clay Loam 29-35 PZ,,,30.0,17.8,52.2,42.5,8.2,1.275,floodplain_bottomland,Creek / floodplain / bottomland
SuB,"Sunev clay loam, 1 to 3 percent slopes",393651,,2,2,,,,,,0,3.5,7,14,15.96,Well drained,Well drained,B,,100,2,85,Not limited,Not limited,Not limited,Not rated,Somewhat limited,Not rated,Not rated,Somewhat limited,Somewhat limited,Somewhat limited,Poor,Not rated,Somewhat limited,0.325,Erosion hazard slight,0,0,Sunev,85,Yes,,2.0,Low,Well drained,No,B,stream terraces on river valleys,Clay Loam 29-35 PZ,,,30.0,33.5,36.5,42.5,8.2,1.275,floodplain_bottomland,Creek / floodplain / bottomland
TaB,"Tarpley clay, 1 to 3 percent slopes",393652,,2,2,43,,,,,0,3.35,5.33,5.33,5.33,Well drained,Well drained,D,,100,4,90,Very limited,Very limited,Not rated,Very limited,Very limited,Not rated,Very limited,Very limited,Very limited,Very limited,Poor,Not rated,Somewhat limited,0.5,Erosion hazard slight,0,1,Tarpley,90,Yes,,2.0,Very high,Well drained,No,D,hillslopes on plateaus,Deep Redland 29-35 PZ; Gravelly Redland 29-35 PZ; Redland 29-35 PZ; Shallow 29-35 PZ,0.0,Lithic bedrock; Paralithic bedrock,55.0,17.0,28.0,0.0,7.0,2.0,thin_limestone,Thin rocky limestone / karst
Tn,"Tinn clay, 0 to 1 percent slopes, frequently flooded",393653,,0.5,0.5,,,,Frequent,Frequent,0,3.5,7,14,21,Moderately well drained,Moderately well drained,D,,100,5,100,Very limited,Very limited,Not rated,Very limited,Very limited,Not rated,Very limited,Very limited,Very limited,Very limited,Poor,Not rated,Very limited,1,Erosion hazard slight,5,1,Tinn,85,Yes,,0.5,High,Moderately well drained,No,D,circular gilgai on flood plains on plains,Clayey Bottomland; Loamy Bottomland,,,50.0,22.0,28.0,10.5,7.9,2.0,floodplain_bottomland,Creek / floodplain / bottomland
W,Water,393654,,,,,,,,,0,,,,,,,D,,100,8,100,Not rated,Not rated,Not rated,Not rated,Not rated,Not rated,Not rated,Not rated,Not rated,Not rated,Not rated,Not rated,Not rated,,Not rated,0,,Water,100,Yes,,,,,No,D,,,,,,,,,,,disturbed_urban,Disturbed builder soil / roadside / fill
DAM,Dams,628363,,,,,,,,,0,,,,,,,D,,100,7,100,Not rated,Not rated,Not rated,Not rated,Not rated,Not rated,Not rated,Not rated,Not rated,Not rated,Not rated,Not rated,Not rated,,Not rated,0,,Dams,100,Yes,,,,,No,D,artificial levees,,,,,,,,,,disturbed_urban,Disturbed builder soil / roadside / fill
